nodeid,name
4c403a80-8a3d-11ea-a6a6-02e7594ce0a0,INFORMATION ID
4eaf16fd-5251-11ea-a3f7-02e7594ce0a0,Date of Publication
4eaf1700-5251-11ea-a3f7-02e7594ce0a0,Time-span Publication Event
4f95a75d-52f1-11ea-a3f7-02e7594ce0a0,Source
4f95a760-52f1-11ea-a3f7-02e7594ce0a0,Source Appellation
54c62e2e-524f-11ea-a3f7-02e7594ce0a0,Resource Type
587447d5-b0c2-11ea-9b1f-02e7594ce0a0,Location
587447dd-b0c2-11ea-9b1f-02e7594ce0a0,Grid ID
587447e2-b0c2-11ea-9b1f-02e7594ce0a0,Country Type
587447e7-b0c2-11ea-9b1f-02e7594ce0a0,Modern Country Territory
641b3858-52f7-11ea-a3f7-02e7594ce0a0,Shared Data
587447d2-b0c2-11ea-9b1f-02e7594ce0a0,Geometric Place Expression
34cfe9f8-c2c0-11ea-9026-02e7594ce0a0,Site Feature Number Type
34cfea81-c2c0-11ea-9026-02e7594ce0a0,Assessment Activity Date
34cfea3b-c2c0-11ea-9026-02e7594ce0a0,Heritage Place
6a5d14c7-5251-11ea-a3f7-02e7594ce0a0,Volume
09b9c67f-5250-11ea-a3f7-02e7594ce0a0,Information Carrier
09b9c682-5250-11ea-a3f7-02e7594ce0a0,Information Carrier Format Type
11da5279-80a5-11ea-a6a6-02e7594ce0a0,Related Site
11da527d-80a5-11ea-a6a6-02e7594ce0a0,Relationship from Date
11da527e-80a5-11ea-a6a6-02e7594ce0a0,Relationship Comments
11da527f-80a5-11ea-a6a6-02e7594ce0a0,Relationship to Date
6c0d426a-c5aa-11ea-9026-02e7594ce0a0,Author
7f41dcde-518c-11ea-a3f7-02e7594ce0a0,URL
8439ef28-52f5-11ea-a3f7-02e7594ce0a0,Cartography
8ab38e85-52f2-11ea-a3f7-02e7594ce0a0,Imagery Sampled Resolution Type
8e38fc39-52f2-11ea-a3f7-02e7594ce0a0,Processing Type
90181f02-5252-11ea-a3f7-02e7594ce0a0,Imagery
99e55b37-5251-11ea-a3f7-02e7594ce0a0,Issues
9fb54d2d-c6a6-11ea-a292-02e7594ce0a0,Restricted Access Record Designation
a5994993-5251-11ea-a3f7-02e7594ce0a0,Editor
aa018e31-8098-11ea-a6a6-02e7594ce0a0,Related Detailed Condition Assessment
aa018e34-8098-11ea-a6a6-02e7594ce0a0,Resource Relationships
aa018e42-8098-11ea-a6a6-02e7594ce0a0,Relationship Comments
aa8a789b-5251-11ea-a3f7-02e7594ce0a0,Source
aa8a789e-5251-11ea-a3f7-02e7594ce0a0,Source Appellation
34cfe9c2-c2c0-11ea-9026-02e7594ce0a0,Disturbance Event
34cfe9c5-c2c0-11ea-9026-02e7594ce0a0,Material
34cfea4d-c2c0-11ea-9026-02e7594ce0a0,Assessment Activity Type
34cfea59-c2c0-11ea-9026-02e7594ce0a0,Site Feature Form Type Certainty
34cfea5b-c2c0-11ea-9026-02e7594ce0a0,Assessment Activity
34cfea5c-c2c0-11ea-9026-02e7594ce0a0,Effect Certainty
14e4ffc3-5251-11ea-a3f7-02e7594ce0a0,Place of publication
34cfe9fb-c2c0-11ea-9026-02e7594ce0a0,Threat Inference Making
34cfea69-c2c0-11ea-9026-02e7594ce0a0,Overall Site Shape Type
34cfea6d-c2c0-11ea-9026-02e7594ce0a0,Address
34cfea77-c2c0-11ea-9026-02e7594ce0a0,General Description
34cfea6b-c2c0-11ea-9026-02e7594ce0a0,Construction Technique
34cfea5d-c2c0-11ea-9026-02e7594ce0a0,Grid ID
34cfea44-c2c0-11ea-9026-02e7594ce0a0,Site Feature Interpretation Certainty
34cfe998-c2c0-11ea-9026-02e7594ce0a0,Marine Environment
34cfea3d-c2c0-11ea-9026-02e7594ce0a0,Disturbance Cause Certainty 
22877ce5-52f2-11ea-a3f7-02e7594ce0a0,Creator Appellation 
33721083-5252-11ea-a3f7-02e7594ce0a0,Figure
363f4abf-5252-11ea-a3f7-02e7594ce0a0,Pages
34cfea19-c2c0-11ea-9026-02e7594ce0a0,Site Feature Shape Type
34cfea25-c2c0-11ea-9026-02e7594ce0a0,Land Cover
34cfea3a-c2c0-11ea-9026-02e7594ce0a0,Land Cover Assessment
b4054b1c-07c2-11eb-a232-02e7594ce0a0,Material Class
34cfea60-c2c0-11ea-9026-02e7594ce0a0,Measurement Unit
34cfea83-c2c0-11ea-9026-02e7594ce0a0,Archaeological From Date
34cfe9bc-c2c0-11ea-9026-02e7594ce0a0,Environment Assessment
34cfea8c-c2c0-11ea-9026-02e7594ce0a0,Dimension 
e3cc8c5c-c772-11ea-a292-02e7594ce0a0,Disturbance Date From
e3cc8c5d-c772-11ea-a292-02e7594ce0a0,Disturbance Date To 
34cfe9bf-c2c0-11ea-9026-02e7594ce0a0,Estimated Damage Extent
34cfe9c8-c2c0-11ea-9026-02e7594ce0a0,Description Assignment
34cfea45-c2c0-11ea-9026-02e7594ce0a0,Heritage Place Function Belief
41afc438-c5fb-11ea-9026-02e7594ce0a0,AH Date From
b528b064-5189-11ea-a3f7-02e7594ce0a0,Description
bf22c079-52f1-11ea-a3f7-02e7594ce0a0,Time-span Mapping Publication Event
bf22c07c-52f1-11ea-a3f7-02e7594ce0a0,Date of File
c712066a-8094-11ea-a6a6-02e7594ce0a0,File Upload
d25a68cc-5228-11ea-a3f7-02e7594ce0a0,URL Access Date
d2c1d525-52f6-11ea-a3f7-02e7594ce0a0,Tile Square Appellation
d4afc9d7-52f6-11ea-a3f7-02e7594ce0a0,Tile Sqaure Details
d7b3f06d-52f6-11ea-a3f7-02e7594ce0a0,Projection Type
e48c6f2d-52f5-11ea-a3f7-02e7594ce0a0,Series Type
5348cf6b-c2c5-11ea-9026-02e7594ce0a0,Location Certainty
086e756c-cb86-11ea-a292-02e7594ce0a0,SH Date From
34cfe9cb-c2c0-11ea-9026-02e7594ce0a0,Archaeological Timespace
34cfea38-c2c0-11ea-9026-02e7594ce0a0,Wave Climate
14e4ffc6-5251-11ea-a3f7-02e7594ce0a0,Biblio Place Appellation
38cff73a-c77b-11ea-a292-02e7594ce0a0,Cultural Sub-period Certainty
34cfea6c-c2c0-11ea-9026-02e7594ce0a0,Archaeological To Date
52bb1e74-fbea-11e9-b345-06f597a7d5ce,Disturbance Event (E27)
587447df-b0c2-11ea-9b1f-02e7594ce0a0,Address
38cff73c-c77b-11ea-a292-02e7594ce0a0,Cultural Sub-period Type
34cfea7f-c2c0-11ea-9026-02e7594ce0a0,Disturbance Date Occurred On 
52bb1e85-fbea-11e9-b345-06f597a7d5ce,Disturbance Cause Type 
f9587707-b0ae-11ea-9b1f-02e7594ce0a0,Location
12ceca4f-fa3e-11e9-b345-06f597a7d5ce,Material Type 
12d3df10-b0b0-11ea-9b1f-02e7594ce0a0,Location Certainty
1d5f1720-fbf1-11e9-b345-06f597a7d5ce,Assessment Activity Date
20acf550-fbf1-11e9-b345-06f597a7d5ce,Assessment Activity Type
300bdc74-cdb9-11ea-a292-02e7594ce0a0,Threat and Risk Assessor
3444ed9f-b0b8-11ea-9b1f-02e7594ce0a0,Related Information Resources
3444eda2-b0b8-11ea-9b1f-02e7594ce0a0,Information Resource Relationship Comments
3444eda4-b0b8-11ea-9b1f-02e7594ce0a0,Relationship to Date
3444eda5-b0b8-11ea-9b1f-02e7594ce0a0,Relationship from Date
34894dc2-8a3e-11ea-a6a6-02e7594ce0a0,CONDITION ID
3f1a4750-c521-11ea-9026-02e7594ce0a0,Built Component
4204b5c5-cdb7-11ea-a292-02e7594ce0a0,Risk Level Belief 
4204b5c8-cdb7-11ea-a292-02e7594ce0a0,Risk Level
52bb1e71-fbea-11e9-b345-06f597a7d5ce,Damage Observation
34cfea84-c2c0-11ea-9026-02e7594ce0a0,Priority Type
52bb1e78-fbea-11e9-b345-06f597a7d5ce,Disturbance Event Timespan
52bb1e79-fbea-11e9-b345-06f597a7d5ce,Disturbance Cause Assignment Assessor
52bb1e7c-fbea-11e9-b345-06f597a7d5ce,Disturbance Cause Assignment Assessor Name
52bb1e7d-fbea-11e9-b345-06f597a7d5ce,Disturbance Cause Category Type
52bb1e7e-fbea-11e9-b345-06f597a7d5ce,Damage Effect Belief
52bb1e80-fbea-11e9-b345-06f597a7d5ce,Disturbance Date Occurred On 
52bb1e81-fbea-11e9-b345-06f597a7d5ce,Disturbance Cause Assignment
52bb1e83-fbea-11e9-b345-06f597a7d5ce,Disturbance Date To 
52bb1e84-fbea-11e9-b345-06f597a7d5ce,Disturbance Date From
e98e1d01-c38b-11ea-9026-02e7594ce0a0,Location
52bb1e86-fbea-11e9-b345-06f597a7d5ce,Disturbance Cause Certainty 
52bb1e87-fbea-11e9-b345-06f597a7d5ce,Disturbance Cause Belief
52bb1e88-fbea-11e9-b345-06f597a7d5ce,Disturbance Date Occurred Before
52bb1e89-fbea-11e9-b345-06f597a7d5ce,Effect Certainty
52bb1e8a-fbea-11e9-b345-06f597a7d5ce,Effect Type
7ef3aa74-fbf0-11e9-b345-06f597a7d5ce,Assessment Summary
a4126d82-b0b7-11ea-9b1f-02e7594ce0a0,Comments on Relationship to Heritage Place
aea63579-f995-11e9-b345-06f597a7d5ce,Damage Assessment
aea6357c-f995-11e9-b345-06f597a7d5ce,Recommendation Type
aea63583-f995-11e9-b345-06f597a7d5ce,Recommendation Plan
aea63589-f995-11e9-b345-06f597a7d5ce,Priority Assignment
aea63592-f995-11e9-b345-06f597a7d5ce,Intervention Activity Type
aea63597-f995-11e9-b345-06f597a7d5ce,Priority Type 
b23d3647-f995-11e9-b345-06f597a7d5ce,Threat and Risk Assessment
b23d364a-f995-11e9-b345-06f597a7d5ce,Mitigation Priority Assignment
b23d364c-f995-11e9-b345-06f597a7d5ce,Threat Probability Type
b23d364e-f995-11e9-b345-06f597a7d5ce,Secondary Threat Type
1cecc89a-f65c-11ea-afe6-0a5a9a4f6ef7,SH Date From
b23d364f-f995-11e9-b345-06f597a7d5ce,Threat Type
b23d3650-f995-11e9-b345-06f597a7d5ce,Mitigation Priority Type
b23d3654-f995-11e9-b345-06f597a7d5ce,Threat Extent Type
b23d3655-f995-11e9-b345-06f597a7d5ce,Risk Plan
b23d365a-f995-11e9-b345-06f597a7d5ce,Threat Event
b23d365c-f995-11e9-b345-06f597a7d5ce,Threat Severity Type
d7636da1-f995-11e9-b345-06f597a7d5ce,Modification and Construction
d7636da4-f995-11e9-b345-06f597a7d5ce,Construction Note
b23d3662-f995-11e9-b345-06f597a7d5ce,Mitigation Strategy Type
b5351eeb-f995-11e9-b345-06f597a7d5ce,Overall Condition Assessment
b5351eee-f995-11e9-b345-06f597a7d5ce,Overall Condition Remarks
b5351ef1-f995-11e9-b345-06f597a7d5ce,Next Assessment Date Type
b5351ef3-f995-11e9-b345-06f597a7d5ce,Overall Condition Remarks Type
34cfea37-c2c0-11ea-9026-02e7594ce0a0,Depositional Process
1cecc89b-f65c-11ea-afe6-0a5a9a4f6ef7,Alternative Temporal Reference Systems
99f876ce-8f75-11ea-a6a6-02e7594ce0a0,Overall Geoarchaeological Certainty Value
b5351ef4-f995-11e9-b345-06f597a7d5ce,Overall Condition Type
b5351ef5-f995-11e9-b345-06f597a7d5ce,Condition Remarks Assignment 
b580a298-c81b-11ea-a292-02e7594ce0a0,Damage Assessment Assessor
b6f1dbfc-b0af-11ea-9b1f-02e7594ce0a0,Resource Orientation Type
b84330ae-6f83-11ea-b4d0-02e7594ce0a0,Heritage Place
b9f03aa2-fa3d-11e9-b345-06f597a7d5ce,Modification 
bea3f5f2-fbf0-11e9-b345-06f597a7d5ce,Assessment Activity
c00ca7af-fa3d-11e9-b345-06f597a7d5ce,Modification Timespan
c00ca7b2-fa3d-11e9-b345-06f597a7d5ce,Modification Date
c07dab2a-fbf0-11e9-b345-06f597a7d5ce,Assessment Investigator
e98e1d04-c38b-11ea-9026-02e7594ce0a0,ACTOR ID
c1a14deb-fa3d-11e9-b345-06f597a7d5ce,Modification Description
d0f5f60e-cc08-11ea-a292-02e7594ce0a0,Investigator Role Type
d583c0f3-f995-11e9-b345-06f597a7d5ce,Measurements 
d583c0f6-f995-11e9-b345-06f597a7d5ce,Dimension
d583c0f8-f995-11e9-b345-06f597a7d5ce,Dimension Type
d583c0fa-f995-11e9-b345-06f597a7d5ce,Measurement Unit
